Obrazek nr 0, popularnosc = tensor([0.8044])
Obrazek nr 1, popularnosc = tensor([0.8226])
Obrazek nr 2, popularnosc = tensor([0.8196])
Obrazek nr 3, popularnosc = tensor([0.7996])
Obrazek nr 4, popularnosc = tensor([0.7965])
Obrazek nr 5, popularnosc = tensor([0.8129])
Obrazek nr 6, popularnosc = tensor([0.8342])
Obrazek nr 7, popularnosc = tensor([0.8435])
Obrazek nr 8, popularnosc = tensor([0.8214])
Obrazek nr 9, popularnosc = tensor([0.7997])
Obrazek nr 10, popularnosc = tensor([0.7767])
Obrazek nr 11, popularnosc = tensor([0.8401])
Obrazek nr 12, popularnosc = tensor([0.8191])
Obrazek nr 13, popularnosc = tensor([0.8159])
Obrazek nr 14, popularnosc = tensor([0.8051])
Obrazek nr 15, popularnosc = tensor([0.8133])
Obrazek nr 16, popularnosc = tensor([0.8088])
Obrazek nr 17, popularnosc = tensor([0.8005])
Obrazek nr 18, popularnosc = tensor([0.8128])
Obrazek nr 19, popularnosc = tensor([0.7890])
Obrazek nr 20, popularnosc = tensor([0.8163])
Obrazek nr 21, popularnosc = tensor([0.8096])
Obrazek nr 22, popularnosc = tensor([0.8207])
Obrazek nr 23, popularnosc = tensor([0.8019])
Obrazek nr 24, popularnosc = tensor([0.8089])
Obrazek nr 25, popularnosc = tensor([0.8491])
Obrazek nr 26, popularnosc = tensor([0.7763])
Obrazek nr 27, popularnosc = tensor([0.8328])
Obrazek nr 28, popularnosc = tensor([0.7955])
Obrazek nr 29, popularnosc = tensor([0.8084])
Obrazek nr 30, popularnosc = tensor([0.8290])
Obrazek nr 31, popularnosc = tensor([0.7847])
Obrazek nr 32, popularnosc = tensor([0.7842])
Obrazek nr 33, popularnosc = tensor([0.8243])
Obrazek nr 34, popularnosc = tensor([0.8085])
Obrazek nr 35, popularnosc = tensor([0.7928])
Obrazek nr 36, popularnosc = tensor([0.8108])
Obrazek nr 37, popularnosc = tensor([0.8402])
Obrazek nr 38, popularnosc = tensor([0.8431])
Obrazek nr 39, popularnosc = tensor([0.8223])
Obrazek nr 40, popularnosc = tensor([0.8233])
Obrazek nr 41, popularnosc = tensor([0.8104])
Obrazek nr 42, popularnosc = tensor([0.7928])
Obrazek nr 43, popularnosc = tensor([0.7980])
Obrazek nr 44, popularnosc = tensor([0.8037])
Obrazek nr 45, popularnosc = tensor([0.8188])
Obrazek nr 46, popularnosc = tensor([0.7776])
Obrazek nr 47, popularnosc = tensor([0.8315])
Obrazek nr 48, popularnosc = tensor([0.8475])
Obrazek nr 49, popularnosc = tensor([0.8062])
Obrazek nr 50, popularnosc = tensor([0.8235])
Obrazek nr 51, popularnosc = tensor([0.7960])
Obrazek nr 52, popularnosc = tensor([0.8201])
Obrazek nr 53, popularnosc = tensor([0.8319])
Obrazek nr 54, popularnosc = tensor([0.8209])
Obrazek nr 55, popularnosc = tensor([0.8101])
Obrazek nr 56, popularnosc = tensor([0.7993])
Obrazek nr 57, popularnosc = tensor([0.8302])
Obrazek nr 58, popularnosc = tensor([0.8005])
Obrazek nr 59, popularnosc = tensor([0.8472])
Obrazek nr 60, popularnosc = tensor([0.8228])
Obrazek nr 61, popularnosc = tensor([0.7762])
Obrazek nr 62, popularnosc = tensor([0.7965])
Obrazek nr 63, popularnosc = tensor([0.8123])
Obrazek nr 64, popularnosc = tensor([0.8233])
Obrazek nr 65, popularnosc = tensor([0.8261])
Obrazek nr 66, popularnosc = tensor([0.8359])
Obrazek nr 67, popularnosc = tensor([0.7993])
Obrazek nr 68, popularnosc = tensor([0.8172])
Obrazek nr 69, popularnosc = tensor([0.8188])
Obrazek nr 70, popularnosc = tensor([0.8334])
Obrazek nr 71, popularnosc = tensor([0.8129])
Obrazek nr 72, popularnosc = tensor([0.8014])
Obrazek nr 73, popularnosc = tensor([0.7898])
Obrazek nr 74, popularnosc = tensor([0.8217])
Obrazek nr 75, popularnosc = tensor([0.8234])
Obrazek nr 76, popularnosc = tensor([0.8226])
Obrazek nr 77, popularnosc = tensor([0.7914])
Obrazek nr 78, popularnosc = tensor([0.8363])
Obrazek nr 79, popularnosc = tensor([0.8109])
Obrazek nr 80, popularnosc = tensor([0.8334])
Obrazek nr 81, popularnosc = tensor([0.7910])
Obrazek nr 82, popularnosc = tensor([0.8467])
Obrazek nr 83, popularnosc = tensor([0.8030])
Obrazek nr 84, popularnosc = tensor([0.8065])
Obrazek nr 85, popularnosc = tensor([0.8175])
Obrazek nr 86, popularnosc = tensor([0.7988])
Obrazek nr 87, popularnosc = tensor([0.8378])
Obrazek nr 88, popularnosc = tensor([0.7912])
Obrazek nr 89, popularnosc = tensor([0.8055])
Obrazek nr 90, popularnosc = tensor([0.8214])
Obrazek nr 91, popularnosc = tensor([0.7898])
Obrazek nr 92, popularnosc = tensor([0.8247])
Obrazek nr 93, popularnosc = tensor([0.7766])
Obrazek nr 94, popularnosc = tensor([0.7938])
Obrazek nr 95, popularnosc = tensor([0.7762])
Obrazek nr 96, popularnosc = tensor([0.7768])
Obrazek nr 97, popularnosc = tensor([0.8150])
Obrazek nr 98, popularnosc = tensor([0.8159])
Obrazek nr 99, popularnosc = tensor([0.8029])
